tx_week,flow_type,tx_count,total_eth,total_usd
2025-12-29 00:00:00.000 UTC,wallet_to_wallet,4731,6050130.175440234,18635217767.713505
2026-01-05 00:00:00.000 UTC,wallet_to_wallet,11116,16589614.835791793,52501999964.04208
2026-01-12 00:00:00.000 UTC,wallet_to_wallet,11530,15689055.045206338,51251139391.80805
2026-01-19 00:00:00.000 UTC,wallet_to_wallet,12446,15907787.653255465,47758385114.37834
2026-01-26 00:00:00.000 UTC,wallet_to_wallet,14862,20046226.24528646,54969405153.24534
2026-02-02 00:00:00.000 UTC,wallet_to_wallet,17293,31086272.800232444,65558785854.717316
2026-02-09 00:00:00.000 UTC,wallet_to_wallet,10847,18670841.857552487,37620777121.30153
2026-02-16 00:00:00.000 UTC,wallet_to_wallet,7838,13486959.20190956,26535518118.991257
2026-02-23 00:00:00.000 UTC,wallet_to_wallet,10870,17976337.05226738,35255715381.36182
2026-03-02 00:00:00.000 UTC,wallet_to_wallet,11582,18505799.286228653,37504007548.42052
2026-03-09 00:00:00.000 UTC,wallet_to_wallet,8469,13991863.546877662,28903643357.419422
2026-03-16 00:00:00.000 UTC,wallet_to_wallet,10196,16393811.383793728,36149400758.521416
2026-03-23 00:00:00.000 UTC,wallet_to_wallet,9656,13644703.768747777,28532613475.95911
2026-03-30 00:00:00.000 UTC,wallet_to_wallet,7805,10602184.19800773,22004264070.87695
2026-04-06 00:00:00.000 UTC,wallet_to_wallet,8347,10963323.26031308,24023425954.0718
2026-04-13 00:00:00.000 UTC,wallet_to_wallet,4763,5951260.864888983,13757435553.41187
