date,price,volume
2017-08-17,302.0,2154655.3003566
2017-08-18,293.96,2858946.5093539
2017-08-19,290.91,620022.5898617
2017-08-20,299.1,742847.8945599
2017-08-21,323.29,1689472.341214
2017-08-22,309.8,2454425.8033137
2017-08-23,315.74,2753464.9450408
2017-08-24,323.42,2159417.1141537
2017-08-25,327.24,2354162.038294
2017-08-26,330.79,1601994.3773166
2017-08-27,348.13,1554477.3581603
2017-08-28,346.0,1463758.1691041
2017-08-29,374.7,1102069.6205809
2017-08-30,385.93,1679526.2125115
2017-08-31,384.79,1704441.3942666
2017-09-01,388.46,1635227.6137661
2017-09-02,343.14,2904008.4613861
2017-09-03,341.77,1801702.6178029
2017-09-04,283.77,2002446.181802
2017-09-05,312.09,2397490.9178386
2017-09-06,335.0,1793962.8584994
2017-09-07,334.49,1027135.6869524
2017-09-08,302.99,1494309.8866163
2017-09-09,296.74,813750.3589359
2017-09-10,293.5,1181903.7721999
2017-09-11,297.3,1436811.8161569
2017-09-12,293.96,1573452.4124519
2017-09-13,276.91,1761080.8976069
2017-09-14,215.21,3110767.7805647
2017-09-15,253.0,3319311.826735
2017-09-16,249.31,2647152.3723708
2017-09-17,257.55,1149704.2949294
2017-09-18,294.57,1182937.633574
2017-09-19,284.0,535773.5652001
2017-09-20,282.0,302739.7337531
2017-09-21,257.0,516193.1970608
2017-09-22,264.0,382962.217943
2017-09-23,285.93,788810.3244239
2017-09-24,282.0,1582877.4871329
2017-09-25,294.42,1705551.9921018
2017-09-26,287.9,1332125.1654396
2017-09-27,309.74,1641896.8743651
2017-09-28,302.44,2009233.8887105
2017-09-29,292.22,3213725.0903979
2017-09-30,304.36,1214456.8380462
2017-10-01,303.95,1518988.30299
2017-10-02,296.5,1116501.2248122
2017-10-03,292.48,1622460.7267746
2017-10-04,291.99,1176260.2171869
2017-10-05,294.81,994768.4954065
2017-10-06,310.8,1063779.3539251
2017-10-07,311.01,672026.6685328
2017-10-08,311.07,923989.787554
2017-10-09,297.19,1462524.6249531
2017-10-10,298.64,2028540.4729273
2017-10-11,304.01,1125331.5033572
2017-10-12,303.99,2397065.1633671
2017-10-13,337.96,5832987.2559101
2017-10-14,342.0,2655702.1145455
2017-10-15,337.96,3326752.5971166
2017-10-16,335.19,2956522.0417874
2017-10-17,315.19,2638150.8892904
2017-10-18,309.7,3915770.1544675
2017-10-19,308.66,2675399.8602425
2017-10-20,304.51,2667391.8997551
2017-10-21,298.94,2558677.4115428
2017-10-22,293.79,2120546.5470225
2017-10-23,281.09,2743010.9877028
2017-10-24,297.38,4253110.3195806
2017-10-25,294.49,2840747.3846263
2017-10-26,294.71,2306446.3337328
2017-10-27,296.33,1852704.4161056
2017-10-28,291.87,1715796.7941936
2017-10-29,305.0,2716332.8153886
2017-10-30,307.25,2751568.6365363
2017-10-31,304.9,2347542.8648317
2017-11-01,287.01,2948801.7063006
2017-11-02,283.12,3810829.6596733
2017-11-03,304.08,2400297.6347816
2017-11-04,298.04,2333944.7608054
2017-11-05,295.53,1974433.013513
2017-11-06,297.97,2233482.6122626
2017-11-07,291.78,2765345.5827772
2017-11-08,303.02,4839176.806813
2017-11-09,317.87,3527294.7503346
2017-11-10,293.5,4762536.5850516
2017-11-11,310.02,3282643.0277861
2017-11-12,305.24,6345603.7706789
2017-11-13,312.99,4852265.3955649
2017-11-14,335.61,5756893.4527936
2017-11-15,331.33,5178507.4572747
2017-11-16,331.49,4638262.2625835
2017-11-17,331.23,5954175.9400211
2017-11-18,346.66,4780354.335408
2017-11-19,354.15,6895884.0624029
2017-11-20,367.42,6600961.958264
2017-11-21,362.12,9556690.2312402
2017-11-22,380.65,6654403.0898495
2017-11-23,405.0,10084943.0895568
2017-11-24,469.0,13089282.2114721
2017-11-25,461.82,9958206.2564553
2017-11-26,462.84,9854650.9432016
2017-11-27,472.31,11199192.4016095
2017-11-28,466.17,11224970.9334287
2017-11-29,421.7,23657537.251193
2017-11-30,427.43,19125706.0007665
2017-12-01,457.51,14471054.869735
2017-12-02,457.63,11883272.7996642
2017-12-03,460.3,11436416.9241977
2017-12-04,466.67,10662508.8497644
2017-12-05,452.26,11663673.2864895
2017-12-06,411.01,16767914.2566097
2017-12-07,406.33,16842079.0919012
2017-12-08,442.56,17430991.9590521
2017-12-09,460.0,19341744.4130386
2017-12-10,427.35,15125760.6157025
2017-12-11,508.7,13776239.5826501
2017-12-12,620.0,33241867.0335295
2017-12-13,683.99,36344921.4647994
2017-12-14,679.76,41882857.095261
2017-12-15,674.95,25891535.6969439
2017-12-16,682.81,18466770.7325109
2017-12-17,707.64,22242667.2153362
2017-12-18,784.0,32799947.5744694
2017-12-19,798.0,55123972.0160901
2017-12-20,790.21,55604509.7531012
2017-12-21,782.41,62052521.6509025
2017-12-22,635.97,98661808.4822484
2017-12-23,640.34,53738833.8806143
2017-12-24,658.0,59101715.1506293
2017-12-25,714.95,55108579.6840084
2017-12-26,750.0,44216631.9019637
2017-12-27,739.89,38102246.9866603
2017-12-28,707.89,50030889.1110455
2017-12-29,733.99,46838775.8175808
2017-12-30,681.06,61752153.6610781
2017-12-31,733.98,44570894.7990617
2018-01-01,754.99,40049370.5949261
2018-01-02,855.28,95749946.0604656
2018-01-03,934.03,78173093.7121992
2018-01-04,940.0,97740086.5903057
2018-01-05,959.3,95739901.4760194
2018-01-06,1004.11,71196052.3406679
2018-01-07,1123.09,70126945.1735654
2018-01-08,1133.18,176599793.2112688
2018-01-09,1291.0,143246762.0845697
2018-01-10,1247.0,210902815.468832
2018-01-11,1138.93,230792205.8753742
2018-01-12,1253.87,113367281.7651159
2018-01-13,1388.02,101824625.2584041
2018-01-14,1347.0,128517479.7160451
2018-01-15,1271.0,90732886.2410553
2018-01-16,1000.0,355819297.4570526
2018-01-17,1000.0,398063123.6629532
2018-01-18,994.0,296964713.7063301
2018-01-19,1032.5,171217738.3162249
2018-01-20,1152.75,137333158.1283754
2018-01-21,1049.0,186353755.5731615
2018-01-22,993.0,185276703.3811457
2018-01-23,980.0,156053774.3099319
2018-01-24,1061.0,135793371.3035906
2018-01-25,1056.52,127855243.1699191
2018-01-26,1051.03,150237011.3005197
2018-01-27,1118.99,105043056.376824
2018-01-28,1251.96,173283524.8751675
2018-01-29,1177.01,126282956.2386049
2018-01-30,1085.5,173857602.7647266
2018-01-31,1124.81,109226169.403087
2018-02-01,1041.94,220810878.7313509
2018-02-02,922.3,348077470.8172215
2018-02-03,971.0,150132852.1698307
2018-02-04,823.56,163419119.0113931
2018-02-05,697.92,270801309.654192
2018-02-06,779.25,435291131.0454776
2018-02-07,754.0,282259408.6878273
2018-02-08,781.66,8110366.5479331
2018-02-09,877.0,81316368.0204354
2018-02-10,851.15,184921264.9754071
2018-02-11,808.99,154647315.018998
2018-02-12,866.66,122610007.8569921
2018-02-13,841.57,92966057.3765568
2018-02-14,919.09,133514830.8970484
2018-02-15,924.55,143817533.1415603
2018-02-16,938.67,107292023.6432389
2018-02-17,969.99,105637458.5323033
2018-02-18,911.0,149501060.8539962
2018-02-19,938.11,75083849.3754466
2018-02-20,882.99,111258169.9826999
2018-02-21,835.89,151739402.984687
2018-02-22,801.49,112939926.7169096
2018-02-23,851.6,130147658.0064479
2018-02-24,833.94,75082869.2722153
2018-02-25,841.19,49520472.1940726
2018-02-26,867.98,64498089.203572
2018-02-27,870.11,55793476.980172
2018-02-28,853.5,46744924.419776
2018-03-01,870.63,37976139.7517369
2018-03-02,856.28,34068626.3832595
2018-03-03,856.02,29487108.37488
2018-03-04,866.66,25364732.8643644
2018-03-05,849.84,26391332.1546758
2018-03-06,813.11,40340972.8329127
2018-03-07,749.9,83030975.9043689
2018-03-08,695.46,55751521.7845615
2018-03-09,723.71,79262060.7540076
2018-03-10,680.58,45345997.5042329
2018-03-11,720.85,51773437.8671232
2018-03-12,697.11,48042091.346384
2018-03-13,689.94,38651705.8540196
2018-03-14,610.1,57785217.4853055
2018-03-15,608.83,56487242.0087846
2018-03-16,599.05,39356556.4721097
2018-03-17,546.95,39167671.2478979
2018-03-18,537.0,125170992.0632535
2018-03-19,556.88,99812549.6389014
2018-03-20,557.0,73696454.5594795
2018-03-21,559.17,66572210.6709511
2018-03-22,539.92,60459505.6065908
2018-03-23,543.03,55542669.0430983
2018-03-24,520.22,46963103.4507316
2018-03-25,523.74,37482165.1820822
2018-03-26,485.0,74104022.1300024
2018-03-27,448.5,63816245.4274086
2018-03-28,446.67,40547475.9536683
2018-03-29,384.0,91719449.9304218
2018-03-30,392.43,112316125.3267166
2018-03-31,393.92,67461541.5886628
2018-04-01,378.58,56620178.3543407
2018-04-02,385.05,43596858.5024712
2018-04-03,415.01,55385110.1548381
2018-04-04,378.16,54594624.7569424
2018-04-05,381.22,45411126.8956174
2018-04-06,368.89,27645272.516507
2018-04-07,384.51,27442723.6552181
2018-04-08,400.4,22720923.5470005
2018-04-09,399.44,61605245.8672748
2018-04-10,416.07,32805764.1019723
2018-04-11,429.52,36371404.2251047
2018-04-12,495.67,113968625.2863396
2018-04-13,495.11,127274585.0424597
2018-04-14,502.68,60727364.2740579
2018-04-15,533.88,56506254.9725316
2018-04-16,511.46,66652300.8067962
2018-04-17,502.56,49273622.8530706
2018-04-18,526.09,37673780.8368876
2018-04-19,568.14,61044208.3175114
2018-04-20,617.09,93907683.4773283
2018-04-21,604.87,95664939.9408183
2018-04-22,620.92,74788729.8493192
2018-04-23,645.09,49473079.4449478
2018-04-24,701.58,118180314.7165787
2018-04-25,618.0,218497368.193498
2018-04-26,661.51,98084636.5776993
2018-04-27,643.46,89621495.4179006
2018-04-28,682.86,76596615.4329475
2018-04-29,690.85,75235079.3018448
2018-04-30,670.78,76654028.9797539
2018-05-01,672.0,87065924.8511483
2018-05-02,688.56,58547697.5057035
2018-05-03,779.0,169982888.3383364
2018-05-04,785.99,141283262.9241322
2018-05-05,819.5,104594301.6093639
2018-05-06,794.3,132187629.450689
2018-05-07,752.49,210066185.2861295
2018-05-08,748.99,101156197.2573318
2018-05-09,751.75,82933836.454514
2018-05-10,722.52,76658823.4630308
2018-05-11,676.96,150336847.8280685
2018-05-12,684.11,111101666.3239263
2018-05-13,729.08,96516164.9841859
2018-05-14,727.49,131397089.1149141
2018-05-15,704.91,91869541.8424722
2018-05-16,706.29,82315246.5132033
2018-05-17,667.62,74320001.2537688
2018-05-18,692.6,72118376.5238014
2018-05-19,697.0,62026599.8097705
2018-05-20,716.16,61227466.2924883
2018-05-21,696.7,67799023.5499843
2018-05-22,640.99,72112726.836348
2018-05-23,577.19,155638543.7608657
2018-05-24,602.18,114324332.2609641
2018-05-25,585.55,70118224.9343135
2018-05-26,586.0,46205282.6853549
2018-05-27,570.4,55737244.5191023
2018-05-28,511.5,81950608.3901462
2018-05-29,567.36,103113233.70003
2018-05-30,557.19,68698935.1823503
2018-05-31,577.81,57312700.8700542
2018-06-01,579.0,48334174.7645864
2018-06-02,590.85,47346968.1318188
2018-06-03,619.66,51660963.9070336
2018-06-04,591.02,57791317.7268969
2018-06-05,609.05,52918830.2092289
2018-06-06,607.4,42406036.3359788
2018-06-07,605.16,36622061.3957984
2018-06-08,598.68,29570758.3831474
2018-06-09,592.87,23425391.9800099
2018-06-10,524.11,103749727.2406178
2018-06-11,531.69,76462994.8697018
2018-06-12,493.0,81341580.8232696
2018-06-13,475.47,86416386.6308936
2018-06-14,519.29,102374389.9984429
2018-06-15,487.48,80145974.8516328
2018-06-16,496.74,64919187.0546742
2018-06-17,497.14,58745118.7144018
2018-06-18,517.95,72402471.3508738
2018-06-19,537.97,78382588.5359899
2018-06-20,536.49,65285793.6546276
2018-06-21,526.18,42586318.499719
2018-06-22,462.09,102306774.8175146
2018-06-23,473.41,44316379.4652718
2018-06-24,454.41,88505534.6557815
2018-06-25,458.7,56436062.4475766
2018-06-26,429.34,37307967.112198
2018-06-27,441.64,42947280.7164346
2018-06-28,420.22,48557224.7656124
2018-06-29,434.77,66573394.2822851
2018-06-30,454.09,70748384.8544428
2018-07-01,452.1,50173671.4201597
2018-07-02,476.25,84408714.7116776
2018-07-03,461.82,88130206.0472561
2018-07-04,467.38,48042056.081608
2018-07-05,467.87,59119270.51983
2018-07-06,470.47,46633547.1690795
2018-07-07,485.57,39311721.8603625
2018-07-08,486.77,70523945.9889119
2018-07-09,471.71,42954426.8383044
2018-07-10,432.48,77742521.1309495
2018-07-11,444.99,69570597.6650943
2018-07-12,431.14,78631113.0291977
2018-07-13,432.46,65466673.8049196
2018-07-14,433.19,53029892.4031811
2018-07-15,449.78,62248916.0599489
2018-07-16,478.49,80398354.4633206
2018-07-17,498.76,104290230.1617882
2018-07-18,479.41,116671540.5152884
2018-07-19,468.57,81153216.4910145
2018-07-20,449.04,73878492.4425278
2018-07-21,460.23,34051603.360423
2018-07-22,457.47,28129475.2138308
